word	count	code	period	gamma
10101010	777	170	2	0.33203125
00110011	442	51	4	0.796875
11001100	393	204	4	0.19921875
01100110	347	102	4	0.3984375
10011001	346	153	4	0.59765625
11111111	334	255	1	0.99609375
00000000	308	0	1	0
11110000	160	240	8	0.05859375
00001111	141	15	8	0.9375
00111000	136	56	8	0.109375
11111000	136	248	8	0.12109375
11100000	133	224	8	0.02734375
00111111	127	63	8	0.984375
11111100	127	252	8	0.24609375
00011111	124	31	8	0.96875
11000000	123	192	8	0.01171875
11000111	123	199	8	0.88671875
00000011	122	3	8	0.75
00000111	122	7	8	0.875
10000000	112	128	8	0.00390625
01111111	111	127	8	0.9921875
00111100	104	60	8	0.234375
00011100	103	28	8	0.21875
00000001	101	1	8	0.5
11100011	100	227	8	0.77734375
10000111	97	135	8	0.87890625
01111000	96	120	8	0.1171875
00110000	94	48	8	0.046875
11111110	89	254	8	0.49609375
10001110	86	142	8	0.44140625
11000011	84	195	8	0.76171875
00011110	80	30	8	0.46875
00001100	78	12	8	0.1875
10100101	76	165	8	0.64453125
00011000	72	24	8	0.09375
01110001	71	113	8	0.5546875
10000001	70	129	8	0.50390625
11100001	70	225	8	0.52734375
11110111	65	247	8	0.93359375
00111110	63	62	8	0.484375
00000110	62	6	8	0.375
10001111	62	143	8	0.94140625
01010101	60	85	2	0.6640625
01110000	60	112	8	0.0546875
11100111	60	231	8	0.90234375
11001111	59	207	8	0.94921875
01011010	58	90	8	0.3515625
11110011	58	243	8	0.80859375
11011111	57	223	8	0.98046875
00001000	56	8	8	0.0625
00100000	56	32	8	0.015625
10000011	56	131	8	0.75390625
11000001	56	193	8	0.51171875
01001011	55	75	8	0.8203125
10011111	55	159	8	0.97265625
11110001	54	241	8	0.55859375
00001110	53	14	8	0.4375
01101001	53	105	8	0.5859375
01111100	53	124	8	0.2421875
00010000	52	16	8	0.03125
00000010	51	2	8	0.25
00011001	51	25	8	0.59375
01111110	51	126	8	0.4921875
01000000	50	64	8	0.0078125
10011110	48	158	8	0.47265625
11010010	48	210	8	0.29296875
00101101	47	45	8	0.703125
00000100	46	4	8	0.125
10000110	46	134	8	0.37890625
10001000	46	136	4	0.06640625
10010110	44	150	8	0.41015625
01100000	43	96	8	0.0234375
11101111	43	239	8	0.96484375
11111011	43	251	8	0.87109375
00100011	42	35	8	0.765625
00100100	42	36	8	0.140625
00111001	42	57	8	0.609375
00111011	42	59	8	0.859375
01011001	42	89	8	0.6015625
10100110	42	166	8	0.39453125
11001000	42	200	8	0.07421875
01100011	41	99	8	0.7734375
11000100	41	196	8	0.13671875
11000110	41	198	8	0.38671875
11100100	41	228	8	0.15234375
00110110	40	54	8	0.421875
01111001	40	121	8	0.6171875
11101110	40	238	4	0.46484375
11111001	40	249	8	0.62109375
11111101	40	253	8	0.74609375
01100111	39	103	8	0.8984375
00110001	38	49	8	0.546875
00111101	38	61	8	0.734375
10110100	38	180	8	0.17578125
11100110	38	230	8	0.40234375
01100001	37	97	8	0.5234375
11001110	37	206	8	0.44921875
00100001	36	33	8	0.515625
01000111	36	71	8	0.8828125
10011000	36	152	8	0.09765625
11001011	36	203	8	0.82421875
11011000	36	216	8	0.10546875
01100100	35	100	8	0.1484375
01100101	35	101	8	0.6484375
00010011	34	19	8	0.78125
10001101	34	141	8	0.69140625
10110011	34	179	8	0.80078125
10111111	34	191	8	0.98828125
01110111	33	119	4	0.9296875
10010001	33	145	8	0.53515625
01110010	32	114	8	0.3046875
00010001	31	17	4	0.53125
01101101	31	109	8	0.7109375
10011100	31	156	8	0.22265625
11101000	31	232	8	0.08984375
00110111	30	55	8	0.921875
01000001	30	65	8	0.5078125
01111011	30	123	8	0.8671875
01111101	30	125	8	0.7421875
10010000	30	144	8	0.03515625
11000010	30	194	8	0.26171875
11011110	30	222	8	0.48046875
00011101	29	29	8	0.71875
00110010	29	50	8	0.296875
00110100	29	52	8	0.171875
10001100	29	140	8	0.19140625
10110010	29	178	8	0.30078125
10111000	29	184	8	0.11328125
11010000	29	208	8	0.04296875
10111100	28	188	8	0.23828125
11001001	28	201	8	0.57421875
11011100	28	220	8	0.23046875
01000110	27	70	8	0.3828125
11101100	27	236	8	0.21484375
00101111	26	47	8	0.953125
10000010	26	130	8	0.25390625
11001101	26	205	8	0.69921875
11100010	26	226	8	0.27734375
00011011	25	27	8	0.84375
00100110	25	38	8	0.390625
01001001	25	73	8	0.5703125
01001100	25	76	8	0.1953125
01011111	25	95	8	0.9765625
01101011	25	107	8	0.8359375
10000100	25	132	8	0.12890625
10010010	25	146	8	0.28515625
10010011	25	147	8	0.78515625
10011010	25	154	8	0.34765625
11010011	25	211	8	0.79296875
11011001	25	217	8	0.60546875
01000100	24	68	4	0.1328125
01110011	24	115	8	0.8046875
01110110	24	118	8	0.4296875
10001001	24	137	8	0.56640625
10001011	24	139	8	0.81640625
10111011	24	187	4	0.86328125
11110110	24	246	8	0.43359375
01010010	23	82	8	0.2890625
01100010	23	98	8	0.2734375
01101010	23	106	8	0.3359375
01101111	23	111	8	0.9609375
01110100	23	116	8	0.1796875
10110000	23	176	8	0.05078125
11111010	23	250	8	0.37109375
00100111	22	39	8	0.890625
00101100	22	44	8	0.203125
01000011	22	67	8	0.7578125
01001110	22	78	8	0.4453125
10011011	22	155	8	0.84765625
11011011	22	219	8	0.85546875
00001101	21	13	8	0.6875
00010111	21	23	8	0.90625
00101000	21	40	8	0.078125
00101011	21	43	8	0.828125
01011100	21	92	8	0.2265625
10100000	21	160	8	0.01953125
10100011	21	163	8	0.76953125
10110110	21	182	8	0.42578125
10110111	21	183	8	0.92578125
00001011	20	11	8	0.8125
01000010	20	66	8	0.2578125
01001000	20	72	8	0.0703125
01001101	20	77	8	0.6953125
01101100	20	108	8	0.2109375
01101110	20	110	8	0.4609375
10101001	20	169	8	0.58203125
10111001	20	185	8	0.61328125
11110010	20	242	8	0.30859375
00010010	19	18	8	0.28125
01010110	19	86	8	0.4140625
11010001	19	209	8	0.54296875
11110100	19	244	8	0.18359375
11011010	18	218	8	0.35546875
11100101	18	229	8	0.65234375
00001001	17	9	8	0.5625
00010100	17	20	8	0.15625
10000101	17	133	8	0.62890625
10011101	17	157	8	0.72265625
10100010	17	162	8	0.26953125
10100100	17	164	8	0.14453125
10100111	17	167	8	0.89453125
10110001	17	177	8	0.55078125
00011010	16	26	8	0.34375
00100010	16	34	4	0.265625
00111010	16	58	8	0.359375
01000101	16	69	8	0.6328125
01001010	16	74	8	0.3203125
01011000	16	88	8	0.1015625
10100001	16	161	8	0.51953125
10110101	16	181	8	0.67578125
11010100	16	212	8	0.16796875
00000101	15	5	8	0.625
01001111	15	79	8	0.9453125
01011011	15	91	8	0.8515625
10010100	15	148	8	0.16015625
10010111	15	151	8	0.91015625
10111010	15	186	8	0.36328125
10111110	15	190	8	0.48828125
11010111	15	215	8	0.91796875
11101001	15	233	8	0.58984375
00010110	14	22	8	0.40625
00101110	14	46	8	0.453125
01011101	14	93	8	0.7265625
10101011	14	171	8	0.83203125
10101100	14	172	8	0.20703125
11010110	14	214	8	0.41796875
00101001	13	41	8	0.578125
01010100	13	84	8	0.1640625
01111010	13	122	8	0.3671875
10010101	13	149	8	0.66015625
10101101	13	173	8	0.70703125
01011110	12	94	8	0.4765625
01101000	12	104	8	0.0859375
11011101	12	221	4	0.73046875
11101101	12	237	8	0.71484375
01010011	11	83	8	0.7890625
10101000	11	168	8	0.08203125
10101111	11	175	8	0.95703125
11110101	11	245	8	0.68359375
11000101	10	197	8	0.63671875
11001010	10	202	8	0.32421875
11101010	10	234	8	0.33984375
00001010	9	10	8	0.3125
00100101	9	37	8	0.640625
10001010	9	138	8	0.31640625
10101110	9	174	8	0.45703125
11010101	9	213	8	0.66796875
00101010	8	42	8	0.328125
01010000	8	80	8	0.0390625
01010111	8	87	8	0.9140625
10111101	8	189	8	0.73828125
11101011	8	235	8	0.83984375
00110101	7	53	8	0.671875
01110101	7	117	8	0.6796875
00010101	6	21	8	0.65625
01010001	5	81	8	0.5390625
