word	count	code	period	gamma
10101010	36	170	2	0.33203125
00110011	17	51	4	0.796875
11001100	16	204	4	0.19921875
00000000	14	0	1	0.0
01100110	13	102	4	0.3984375
10011001	11	153	4	0.59765625
00111111	9	63	8	0.984375
11111000	8	248	8	0.12109375
11111100	8	252	8	0.24609375
11111111	8	255	1	0.99609375
00001100	6	12	8	0.1875
00011111	6	31	8	0.96875
10000111	6	135	8	0.87890625
10001111	6	143	8	0.94140625
11000000	6	192	8	0.01171875
00011000	5	24	8	0.09375
00011100	5	28	8	0.21875
00111000	5	56	8	0.109375
01101101	5	109	8	0.7109375
10000000	5	128	8	0.00390625
10010001	5	145	8	0.53515625
11110000	5	240	8	0.05859375
00000010	4	2	8	0.25
00000011	4	3	8	0.75
00000100	4	4	8	0.125
00000111	4	7	8	0.875
00001110	4	14	8	0.4375
00010111	4	23	8	0.90625
00111100	4	60	8	0.234375
01010101	4	85	2	0.6640625
01011001	4	89	8	0.6015625
01110001	4	113	8	0.5546875
01111111	4	127	8	0.9921875
10010101	4	149	8	0.66015625
10010110	4	150	8	0.41015625
11000111	4	199	8	0.88671875
11001111	4	207	8	0.94921875
11100011	4	227	8	0.77734375
11101100	4	236	8	0.21484375
11101111	4	239	8	0.96484375
11110100	4	244	8	0.18359375
00000001	3	1	8	0.5
00001111	3	15	8	0.9375
00011001	3	25	8	0.59375
00100001	3	33	8	0.515625
00100101	3	37	8	0.640625
00111110	3	62	8	0.484375
01001011	3	75	8	0.8203125
01011000	3	88	8	0.1015625
01100001	3	97	8	0.5234375
01111000	3	120	8	0.1171875
10000001	3	129	8	0.50390625
10001110	3	142	8	0.44140625
10100110	3	166	8	0.39453125
11011000	3	216	8	0.10546875
11100000	3	224	8	0.02734375
11101110	3	238	4	0.46484375
11110111	3	247	8	0.93359375
11111011	3	251	8	0.87109375
11111101	3	253	8	0.74609375
11111110	3	254	8	0.49609375
00010000	2	16	8	0.03125
00011011	2	27	8	0.84375
00011110	2	30	8	0.46875
00100100	2	36	8	0.140625
00101001	2	41	8	0.578125
00101101	2	45	8	0.703125
00110001	2	49	8	0.546875
00110110	2	54	8	0.421875
00110111	2	55	8	0.921875
01000000	2	64	8	0.0078125
01000111	2	71	8	0.8828125
01001100	2	76	8	0.1953125
01001101	2	77	8	0.6953125
01001111	2	79	8	0.9453125
01100000	2	96	8	0.0234375
01100111	2	103	8	0.8984375
01101001	2	105	8	0.5859375
01101100	2	108	8	0.2109375
01110000	2	112	8	0.0546875
01110010	2	114	8	0.3046875
01110011	2	115	8	0.8046875
01110111	2	119	4	0.9296875
01111101	2	125	8	0.7421875
10000100	2	132	8	0.12890625
10001011	2	139	8	0.81640625
10010010	2	146	8	0.28515625
10011100	2	156	8	0.22265625
10100000	2	160	8	0.01953125
10100101	2	165	8	0.64453125
10110000	2	176	8	0.05078125
10110110	2	182	8	0.42578125
10111100	2	188	8	0.23828125
10111110	2	190	8	0.48828125
11001000	2	200	8	0.07421875
11010110	2	214	8	0.41796875
11011011	2	219	8	0.85546875
11011110	2	222	8	0.48046875
11011111	2	223	8	0.98046875
11100001	2	225	8	0.52734375
11101001	2	233	8	0.58984375
11110001	2	241	8	0.55859375
11110101	2	245	8	0.68359375
00000101	1	5	8	0.625
00001010	1	10	8	0.3125
00001011	1	11	8	0.8125
00001101	1	13	8	0.6875
00010001	1	17	4	0.53125
00010011	1	19	8	0.78125
00011101	1	29	8	0.71875
00100111	1	39	8	0.890625
00101011	1	43	8	0.828125
00101111	1	47	8	0.953125
00110010	1	50	8	0.296875
00110100	1	52	8	0.171875
00111010	1	58	8	0.359375
00111011	1	59	8	0.859375
01000010	1	66	8	0.2578125
01000101	1	69	8	0.6328125
01000110	1	70	8	0.3828125
01001000	1	72	8	0.0703125
01001001	1	73	8	0.5703125
01010110	1	86	8	0.4140625
01011010	1	90	8	0.3515625
01011011	1	91	8	0.8515625
01011100	1	92	8	0.2265625
01100101	1	101	8	0.6484375
01101011	1	107	8	0.8359375
01101111	1	111	8	0.9609375
01111110	1	126	8	0.4921875
10000010	1	130	8	0.25390625
10000011	1	131	8	0.75390625
10001001	1	137	8	0.56640625
10001100	1	140	8	0.19140625
10010000	1	144	8	0.03515625
10010100	1	148	8	0.16015625
10011000	1	152	8	0.09765625
10011010	1	154	8	0.34765625
10011111	1	159	8	0.97265625
10100100	1	164	8	0.14453125
10101100	1	172	8	0.20703125
10101101	1	173	8	0.70703125
10110011	1	179	8	0.80078125
10110111	1	183	8	0.92578125
10111000	1	184	8	0.11328125
10111011	1	187	4	0.86328125
10111101	1	189	8	0.73828125
10111111	1	191	8	0.98828125
11000001	1	193	8	0.51171875
11000010	1	194	8	0.26171875
11000011	1	195	8	0.76171875
11000110	1	198	8	0.38671875
11001001	1	201	8	0.57421875
11001011	1	203	8	0.82421875
11001110	1	206	8	0.44921875
11010000	1	208	8	0.04296875
11010001	1	209	8	0.54296875
11010010	1	210	8	0.29296875
11010100	1	212	8	0.16796875
11011100	1	220	8	0.23046875
11011101	1	221	4	0.73046875
11100110	1	230	8	0.40234375
11100111	1	231	8	0.90234375
11110110	1	246	8	0.43359375
11111001	1	249	8	0.62109375
11111010	1	250	8	0.37109375
