word	count	code	period	gamma
10101010	48054	170	2	0.33203125
00110011	28379	51	4	0.796875
11001100	25052	204	4	0.19921875
11111111	23141	255	1	0.99609375
01100110	22246	102	4	0.3984375
10011001	21631	153	4	0.59765625
00000000	20083	0	1	0
11110000	10283	240	8	0.05859375
00001111	9588	15	8	0.9375
11111000	8025	248	8	0.12109375
00111111	7885	63	8	0.984375
11000000	7852	192	8	0.01171875
00000111	7804	7	8	0.875
00011111	7801	31	8	0.96875
11100000	7754	224	8	0.02734375
11000111	7679	199	8	0.88671875
00111000	7628	56	8	0.109375
11111100	7589	252	8	0.24609375
00000011	7418	3	8	0.75
01111111	6825	127	8	0.9921875
11100011	6747	227	8	0.77734375
00011100	6652	28	8	0.21875
10000000	6553	128	8	0.00390625
11111110	6551	254	8	0.49609375
00000001	6473	1	8	0.5
11000011	6245	195	8	0.76171875
00111100	6240	60	8	0.234375
10000111	6232	135	8	0.87890625
01111000	5786	120	8	0.1171875
10001110	5278	142	8	0.44140625
01110001	5268	113	8	0.5546875
00011110	5126	30	8	0.46875
11100001	5087	225	8	0.52734375
11001111	4503	207	8	0.94921875
00001100	4490	12	8	0.1875
00110000	4476	48	8	0.046875
11110011	4423	243	8	0.80859375
00011000	4245	24	8	0.09375
11100111	4220	231	8	0.90234375
01110000	3896	112	8	0.0546875
00001110	3884	14	8	0.4375
11110001	3884	241	8	0.55859375
10001111	3863	143	8	0.94140625
01001011	3720	75	8	0.8203125
10000001	3696	129	8	0.50390625
00111110	3695	62	8	0.484375
01111110	3669	126	8	0.4921875
00001000	3647	8	8	0.0625
01111100	3636	124	8	0.2421875
11000001	3595	193	8	0.51171875
10000011	3566	131	8	0.75390625
11101111	3510	239	8	0.96484375
11110111	3485	247	8	0.93359375
10100101	3423	165	8	0.64453125
00010000	3421	16	8	0.03125
10010110	3358	150	8	0.41015625
01100000	3353	96	8	0.0234375
10011111	3342	159	8	0.97265625
11111001	3325	249	8	0.62109375
01011010	3317	90	8	0.3515625
00000110	3275	6	8	0.375
01101001	3275	105	8	0.5859375
11011111	3249	223	8	0.98046875
00100000	3229	32	8	0.015625
00000100	3115	4	8	0.125
11111011	3096	251	8	0.87109375
10110100	3054	180	8	0.17578125
01010101	3037	85	2	0.6640625
00000010	2851	2	8	0.25
01000000	2846	64	8	0.0078125
11111101	2843	253	8	0.74609375
10111111	2822	191	8	0.98828125
01100111	2779	103	8	0.8984375
10000110	2759	134	8	0.37890625
01111001	2735	121	8	0.6171875
11100110	2708	230	8	0.40234375
00011001	2706	25	8	0.59375
11010010	2652	210	8	0.29296875
00101101	2641	45	8	0.703125
00111001	2620	57	8	0.609375
01100011	2604	99	8	0.7734375
01100001	2603	97	8	0.5234375
10001000	2599	136	4	0.06640625
10011000	2593	152	8	0.09765625
10011100	2558	156	8	0.22265625
10011110	2551	158	8	0.47265625
11000110	2547	198	8	0.38671875
10001100	2516	140	8	0.19140625
00100011	2450	35	8	0.765625
11011100	2443	220	8	0.23046875
11001110	2435	206	8	0.44921875
00110001	2427	49	8	0.546875
00111011	2382	59	8	0.859375
11001000	2341	200	8	0.07421875
01110011	2323	115	8	0.8046875
11011000	2298	216	8	0.10546875
11000100	2276	196	8	0.13671875
10111000	2237	184	8	0.11328125
00110111	2215	55	8	0.921875
01110111	2208	119	4	0.9296875
00010001	2201	17	4	0.53125
00100111	2183	39	8	0.890625
11101110	2180	238	4	0.46484375
00011011	2174	27	8	0.84375
01011001	2173	89	8	0.6015625
01000111	2164	71	8	0.8828125
10100110	2160	166	8	0.39453125
11100100	2151	228	8	0.15234375
10011010	2141	154	8	0.34765625
01100101	2116	101	8	0.6484375
10110011	2109	179	8	0.80078125
11100010	2043	226	8	0.27734375
11001101	2042	205	8	0.69921875
00011101	2022	29	8	0.71875
00010011	2021	19	8	0.78125
11001011	2014	203	8	0.82421875
00110010	1997	50	8	0.296875
00110100	1992	52	8	0.171875
01101100	1960	108	8	0.2109375
01001100	1957	76	8	0.1953125
11011110	1918	222	8	0.48046875
11101100	1915	236	8	0.21484375
01001001	1884	73	8	0.5703125
01111011	1880	123	8	0.8671875
00100001	1868	33	8	0.515625
10000100	1857	132	8	0.12890625
11010011	1856	211	8	0.79296875
11001001	1851	201	8	0.57421875
01110010	1844	114	8	0.3046875
00101100	1837	44	8	0.203125
10010011	1837	147	8	0.78515625
11011001	1835	217	8	0.60546875
00100110	1834	38	8	0.390625
01000011	1827	67	8	0.7578125
01101101	1821	109	8	0.7109375
01101110	1821	110	8	0.4609375
10010001	1816	145	8	0.53515625
00110110	1814	54	8	0.421875
10001101	1800	141	8	0.69140625
00100100	1796	36	8	0.140625
11101000	1794	232	8	0.08984375
10110110	1766	182	8	0.42578125
10010010	1758	146	8	0.28515625
01100100	1742	100	8	0.1484375
11011011	1740	219	8	0.85546875
10111100	1729	188	8	0.23828125
00010111	1705	23	8	0.90625
10011011	1705	155	8	0.84765625
01001101	1704	77	8	0.6953125
00111101	1694	61	8	0.734375
10110010	1694	178	8	0.30078125
11110110	1661	246	8	0.43359375
11000010	1645	194	8	0.26171875
10111001	1628	185	8	0.61328125
01000001	1625	65	8	0.5078125
01001111	1619	79	8	0.9453125
01111101	1616	125	8	0.7421875
10010000	1590	144	8	0.03515625
10110000	1572	176	8	0.05078125
01101111	1560	111	8	0.9609375
01000110	1558	70	8	0.3828125
10000010	1557	130	8	0.25390625
00001001	1551	9	8	0.5625
00001101	1544	13	8	0.6875
11110010	1523	242	8	0.30859375
10111110	1510	190	8	0.48828125
00001011	1507	11	8	0.8125
00101111	1492	47	8	0.953125
01000100	1492	68	4	0.1328125
11110100	1485	244	8	0.18359375
10111011	1459	187	4	0.86328125
01110110	1440	118	8	0.4296875
11010000	1436	208	8	0.04296875
11011101	1433	221	4	0.73046875
10110001	1423	177	8	0.55078125
10001001	1391	137	8	0.56640625
01001110	1383	78	8	0.4453125
00100010	1321	34	4	0.265625
01110100	1311	116	8	0.1796875
10011101	1296	157	8	0.72265625
10001011	1275	139	8	0.81640625
11010001	1275	209	8	0.54296875
00101110	1272	46	8	0.453125
10100000	1270	160	8	0.01953125
10101101	1264	173	8	0.70703125
10110111	1264	183	8	0.92578125
01011111	1261	95	8	0.9765625
01001000	1258	72	8	0.0703125
01100010	1247	98	8	0.2734375
11111010	1229	250	8	0.37109375
00000101	1227	5	8	0.625
01010010	1186	82	8	0.2890625
10100100	1161	164	8	0.14453125
10101001	1144	169	8	0.58203125
10010101	1135	149	8	0.66015625
01101010	1134	106	8	0.3359375
01011100	1131	92	8	0.2265625
01011011	1110	91	8	0.8515625
00110101	1108	53	8	0.671875
10010100	1100	148	8	0.16015625
11001010	1090	202	8	0.32421875
01101011	1076	107	8	0.8359375
10100011	1068	163	8	0.76953125
00101001	1059	41	8	0.578125
01010110	1056	86	8	0.4140625
01001010	1053	74	8	0.3203125
10110101	1046	181	8	0.67578125
11000101	1041	197	8	0.63671875
01000010	1034	66	8	0.2578125
00111010	1029	58	8	0.359375
11010110	1023	214	8	0.41796875
01010011	1004	83	8	0.7890625
10111010	964	186	8	0.36328125
10010111	959	151	8	0.91015625
11101001	956	233	8	0.58984375
10111101	948	189	8	0.73828125
00010010	936	18	8	0.28125
11101101	936	237	8	0.71484375
00010110	931	22	8	0.40625
00101011	931	43	8	0.828125
11010100	930	212	8	0.16796875
11010111	928	215	8	0.91796875
00101000	926	40	8	0.078125
01000101	921	69	8	0.6328125
10101100	921	172	8	0.20703125
01101000	920	104	8	0.0859375
01011000	918	88	8	0.1015625
10100111	905	167	8	0.89453125
00011010	904	26	8	0.34375
00100101	874	37	8	0.640625
11100101	869	229	8	0.65234375
11011010	860	218	8	0.35546875
00010100	844	20	8	0.15625
10000101	838	133	8	0.62890625
10100001	837	161	8	0.51953125
01011110	828	94	8	0.4765625
01111010	807	122	8	0.3671875
11101011	806	235	8	0.83984375
01011101	794	93	8	0.7265625
10100010	786	162	8	0.26953125
10101110	707	174	8	0.45703125
11110101	698	245	8	0.68359375
01110101	680	117	8	0.6796875
01010001	677	81	8	0.5390625
10001010	677	138	8	0.31640625
01010000	652	80	8	0.0390625
01010100	651	84	8	0.1640625
10101111	649	175	8	0.95703125
11010101	631	213	8	0.66796875
00001010	630	10	8	0.3125
10101011	619	171	8	0.83203125
00101010	611	42	8	0.328125
01010111	461	87	8	0.9140625
10101000	459	168	8	0.08203125
00010101	453	21	8	0.65625
11101010	439	234	8	0.33984375
