word	count	code	period	gamma
00000000	90711	0	1	0
00011111	53950	31	8	0.96875
00101010	49927	42	8	0.328125
00110011	48323	51	4	0.796875
00001111	43923	15	8	0.9375
00000011	43892	3	8	0.75
00000111	30115	7	8	0.875
00001100	25705	12	8	0.1875
00001000	23520	8	8	0.0625
00000001	22775	1	8	0.5
00110110	20956	54	8	0.421875
00110100	20561	52	8	0.171875
00011100	18893	28	8	0.21875
00000010	18281	2	8	0.25
00111001	17662	57	8	0.609375
00110101	16101	53	8	0.671875
00001110	16074	14	8	0.4375
00000110	15643	6	8	0.375
00000100	14681	4	8	0.125
00011101	12562	29	8	0.71875
00011110	12508	30	8	0.46875
00001001	11723	9	8	0.5625
00001011	11117	11	8	0.8125
00010000	10414	16	8	0.03125
00001101	10302	13	8	0.6875
00010011	10174	19	8	0.78125
00010010	10095	18	8	0.28125
00111011	9951	59	8	0.859375
00011001	8592	25	8	0.59375
00111010	8347	58	8	0.359375
00010001	7824	17	4	0.53125
00000101	7269	5	8	0.625
00111100	6901	60	8	0.234375
00010110	6482	22	8	0.40625
00001010	6074	10	8	0.3125
00111000	5296	56	8	0.109375
00010111	5081	23	8	0.90625
00011000	4533	24	8	0.09375
00010100	3590	20	8	0.15625
00111101	3095	61	8	0.734375
00011011	2447	27	8	0.84375
00111111	2122	63	8	0.984375
00100110	2099	38	8	0.390625
00010101	1861	21	8	0.65625
00111110	1726	62	8	0.484375
00011010	876	26	8	0.34375
00101100	309	44	8	0.203125
00110000	102	48	8	0.046875
00110001	94	49	8	0.546875
00110111	53	55	8	0.921875
00101110	15	46	8	0.453125
00101101	10	45	8	0.703125
00101011	6	43	8	0.828125
00101001	4	41	8	0.578125
